Time (ps)	Potential	Kinetic	Total
4640.000000	-228283.843750	40782.074219	-187501.765625
4650.000000	-229015.562500	40267.210938	-188748.343750
4660.000000	-228132.203125	40424.953125	-187707.250000
4670.000000	-229090.171875	40508.984375	-188581.187500
4680.000000	-229264.437500	40531.156250	-188733.281250
4690.000000	-228749.593750	40706.679688	-188042.906250
4700.000000	-228445.125000	41192.828125	-187252.296875
4710.000000	-228460.343750	40657.679688	-187802.656250
4720.000000	-227579.593750	41379.687500	-186199.906250
4730.000000	-228569.031250	40589.648438	-187979.375000
4740.000000	-228158.437500	41117.980469	-187040.453125
4750.000000	-227796.015625	41119.730469	-186676.281250
4760.000000	-228015.875000	40717.683594	-187298.187500
4770.000000	-228872.843750	40507.726562	-188365.125000
4780.000000	-228391.890625	40593.734375	-187798.156250
4790.000000	-227649.343750	40674.535156	-186974.812500
4800.000000	-228840.796875	40982.113281	-187858.687500
4810.000000	-227248.906250	41060.523438	-186188.375000
4820.000000	-227400.437500	41344.953125	-186055.484375
4830.000000	-229305.500000	41409.113281	-187896.390625
4840.000000	-228275.890625	40554.101562	-187721.781250
4850.000000	-227468.390625	40518.707031	-186949.687500
4860.000000	-228434.250000	41439.539062	-186994.718750
4870.000000	-227307.750000	40671.246094	-186636.500000
4880.000000	-228087.734375	40656.976562	-187430.750000
4890.000000	-228165.046875	41419.082031	-186745.968750
4900.000000	-228006.515625	41339.445312	-186667.062500
4910.000000	-227685.609375	40653.359375	-187032.250000
4920.000000	-227967.546875	40630.156250	-187337.390625
4930.000000	-228163.578125	40745.300781	-187418.281250
4940.000000	-228589.781250	41108.855469	-187480.921875
4950.000000	-228677.984375	40532.246094	-188145.734375
4960.000000	-227326.265625	40898.406250	-186427.859375
4970.000000	-227724.437500	40809.421875	-186915.015625
4980.000000	-227877.953125	41041.554688	-186836.406250
4990.000000	-227748.125000	40560.132812	-187188.000000
5000.000000	-226988.078125	40792.191406	-186195.890625
